the,a,"23,782,116",1.05,0.96,9
of,i,"11,155,504",1.27,0.96,9
be,v,"16,711,569",0.72,0.96,9
and,c,"11,654,440",0.99,0.96,9
a,a,"10,999,596",0.86,0.96,9
in,i,"7,557,934",1.10,0.96,9
to,t,"6,868,227",0.86,0.96,9
to,i,"4,176,665",1.02,0.96,9
that,c,"3,709,830",1.00,0.96,9
for,i,"3,564,803",1.00,0.96,9
have,v,"5,335,769",0.64,0.96,9
with,i,"2,911,620",0.93,0.96,9
it,p,"4,194,837",0.56,0.96,9
on,i,"2,703,486",0.85,0.96,9
by,i,"1,608,416",1.30,0.96,9
this,d,"2,047,852",0.87,0.96,9
or,c,"1,488,977",1.20,0.96,9
from,i,"1,777,279",0.99,0.95,9
not,x,"1,771,490",0.94,0.96,9
their,a,"1,170,105",1.22,0.96,9
as,c,"1,400,622",1.02,0.96,9
at,i,"1,923,946",0.74,0.95,9
as,i,"895,158",1.46,0.96,9
they,p,"2,014,813",0.65,0.96,9
do,v,"2,800,962",0.46,0.97,9
but,c,"1,933,747",0.62,0.96,9
he,p,"3,138,989",0.33,0.96,9
can,v,"1,106,769",0.91,0.95,9
we,p,"1,973,669",0.51,0.95,9
which,d,"739,360",1.33,0.96,9
his,a,"1,943,525",0.49,0.95,9
you,p,"3,354,314",0.27,0.96,9
that,d,"1,853,584",0.49,0.96,9
who,p,"1,103,186",0.72,0.96,9
these,d,"554,163",1.44,0.95,9
its,a,"604,138",1.29,0.94,9
all,d,"970,329",0.76,0.96,9
other,j,"589,395",1.19,0.95,9
will,v,"1,200,441",0.58,0.94,9
make,v,"932,443",0.75,0.96,9
more,r,"560,978",1.24,0.96,9
would,v,"1,000,182",0.70,0.95,9
than,c,"627,735",1.09,0.95,9
one,m,"830,619",0.82,0.96,9
also,r,"504,559",1.34,0.96,9
if,c,"1,011,861",0.66,0.96,9
use,v,"455,925",1.42,0.93,9
time,n,"832,974",0.78,0.96,9
student,n,"280,591",2.29,0.87,7
year,n,"834,997",0.75,0.95,9
what,d,"1,283,090",0.49,0.96,9
say,v,"2,077,536",0.30,0.94,9
some,d,"728,487",0.80,0.95,9
about,i,"952,604",0.60,0.96,9
into,i,"723,324",0.77,0.95,9
there,e,"846,483",0.64,0.96,9
when,c,"736,305",0.71,0.96,9
new,j,"472,947",1.05,0.94,9
between,i,"284,031",1.73,0.95,8
two,m,"552,785",0.88,0.95,9
our,a,"574,490",0.84,0.94,9
study,n,"190,388",2.52,0.93,8
people,n,"752,220",0.64,0.95,9
them,p,"735,838",0.65,0.96,9
see,v,"754,368",0.63,0.95,9
only,r,"408,282",1.13,0.95,9
take,v,"726,578",0.63,0.96,9
many,d,"415,218",1.10,0.95,9
n't,x,"1,744,284",0.26,0.93,9
your,a,"719,699",0.60,0.89,8
first,m,"502,030",0.86,0.95,9
group,n,"249,082",1.72,0.94,9
could,v,"669,783",0.63,0.95,9
how,r,"588,189",0.71,0.96,9
those,d,"410,262",1.01,0.96,9
school,n,"331,597",1.24,0.89,9
find,v,"426,447",0.95,0.95,9
so,r,"837,971",0.48,0.96,9
child,n,"360,478",1.08,0.93,8
way,n,"511,585",0.76,0.96,9
system,n,"215,748",1.79,0.90,9
more,d,"457,736",0.83,0.95,9
high,j,"277,214",1.37,0.94,9
up,r,"865,430",0.44,0.94,9
no,a,"433,546",0.84,0.96,9
state,n,"440,944",0.82,0.92,9
through,i,"372,049",0.96,0.95,9
world,n,"328,689",1.09,0.94,9
program,n,"212,582",1.65,0.93,9
social,j,"146,215",2.39,0.90,8
my,a,"1,007,382",0.35,0.95,9
because,c,"476,691",0.73,0.96,9
one,p,"399,728",0.87,0.95,9
such,d,"221,361",1.56,0.95,9
should,v,"335,540",1.02,0.97,9
she,p,"1,608,924",0.21,0.96,9
out,r,"738,311",0.45,0.96,9
then,r,"589,713",0.57,0.95,9
go,v,"1,251,786",0.27,0.96,9
woman,n,"382,235",0.86,0.92,8
become,v,"278,670",1.18,0.96,9
any,d,"374,115",0.88,0.96,9
life,n,"361,340",0.91,0.94,9
most,r,"265,879",1.24,0.96,9
even,r,"391,962",0.84,0.95,9
her,a,"1,054,106",0.31,0.95,9
provide,v,"162,772",2.01,0.94,9
get,v,"1,080,432",0.30,0.95,9
however,r,"151,837",2.10,0.95,8
each,d,"212,566",1.50,0.94,9
give,v,"415,915",0.76,0.97,9
know,v,"974,670",0.32,0.96,9
come,v,"680,619",0.44,0.95,9
while,c,"254,311",1.17,0.96,9
like,i,"619,260",0.48,0.95,9
during,i,"205,544",1.43,0.94,9
research,n,"126,662",2.30,0.92,9
teacher,n,"126,709",2.28,0.86,7
problem,n,"233,655",1.22,0.95,9
education,n,"126,010",2.24,0.91,8
as,r,"304,541",0.91,0.96,9
American,j,231470,1.18409888136301,0.91190700150318,9
level,n,"132,310",2.07,0.94,8
now,r,"657,619",0.41,0.95,9
work,v,"346,641",0.77,0.96,9
just,r,"741,437",0.36,0.95,9
man,n,"459,435",0.58,0.94,9
need,v,"304,665",0.86,0.96,9
over,i,"326,862",0.80,0.95,9
case,n,"216,637",1.21,0.95,9
political,j,"155,252",1.66,0.89,6
number,n,"201,813",1.27,0.94,9
three,m,"288,953",0.89,0.95,9
community,n,"146,262",1.75,0.94,8
in,r,"309,472",0.83,0.96,9
own,d,"259,644",0.98,0.96,9
after,i,"339,185",0.75,0.96,9
result,n,"123,215",2.05,0.94,9
show,v,"225,869",1.11,0.94,9
government,n,"209,934",1.19,0.89,9
same,d,"240,374",1.04,0.95,9
work,n,"203,073",1.22,0.95,9
large,j,"190,008",1.30,0.92,9
include,v,"145,280",1.69,0.95,9
such,i,"128,642",1.91,0.94,9
day,n,"486,307",0.50,0.96,9
must,v,"182,442",1.31,0.96,9
among,i,"149,851",1.60,0.95,9
great,j,"244,358",0.98,0.95,9
area,n,"178,801",1.33,0.93,9
country,n,"242,456",0.98,0.91,9
most,d,"211,650",1.12,0.95,9
important,j,"155,792",1.51,0.95,9
family,n,"264,804",0.89,0.93,9
different,j,"176,090",1.33,0.95,9
process,n,"115,727",2.01,0.95,8
power,n,"155,405",1.49,0.93,9
part,n,"225,292",1.03,0.95,9
national,j,"179,411",1.28,0.94,9
use,n,"104,906",2.15,0.93,8
service,n,"159,496",1.41,0.94,9
within,i,"120,768",1.86,0.95,9
development,n,"99,812",2.23,0.94,8
data,n,"84,962",2.62,0.90,8
think,v,"838,695",0.26,0.96,9
often,r,"151,696",1.45,0.96,9
information,n,"136,869",1.58,0.93,9
question,n,"208,806",1.04,0.96,9
very,r,"422,266",0.51,0.95,9
issue,n,"169,438",1.25,0.95,9
another,d,"260,296",0.81,0.96,9
effect,n,"103,101",2.04,0.94,8
call,v,"333,570",0.63,0.95,9
health,n,"139,598",1.50,0.88,8
might,v,"226,672",0.92,0.96,9
begin,v,"243,543",0.86,0.95,9
us,p,"385,782",0.54,0.93,9
change,n,"122,695",1.69,0.94,9
table,n,"134,109",1.54,0.93,9
policy,n,"116,824",1.77,0.91,9
help,v,"233,703",0.88,0.97,9
although,c,"115,282",1.76,0.95,8
university,n,"124,784",1.62,0.93,9
both,d,"157,482",1.28,0.96,9
model,n,"91,260",2.20,0.92,9
small,j,"200,610",0.99,0.91,9
company,n,"217,148",0.91,0.88,8
experience,n,"106,431",1.86,0.94,8
good,j,"386,236",0.51,0.96,9
me,p,"775,447",0.25,0.95,9
activity,n,"84,618",2.28,0.93,8
human,j,"109,916",1.74,0.93,8
member,n,"148,448",1.28,0.95,9
still,r,"322,194",0.59,0.95,9
him,p,"731,462",0.26,0.94,9
history,n,"124,707",1.50,0.93,8
want,v,"559,368",0.33,0.96,9
without,i,"184,781",1.01,0.96,9
create,v,"130,994",1.42,0.95,9
develop,v,"90,914",2.02,0.94,9
war,n,"168,673",1.09,0.89,6
suggest,v,"99,993",1.84,0.95,8
economic,j,"96,894",1.89,0.90,9
seem,v,"236,617",0.77,0.95,9
well,r,"448,199",0.41,0.96,9
low,j,"117,672",1.54,0.93,9
law,n,"146,053",1.24,0.88,9
under,i,"177,088",1.01,0.94,9
relationship,n,"92,198",1.93,0.93,8
look,v,"534,884",0.33,0.94,9
behavior,n,"70,444",2.50,0.91,8
much,d,"265,384",0.66,0.96,9
both,r,"114,507",1.53,0.95,9
value,n,"88,902",1.97,0.96,9
public,j,"130,442",1.34,0.95,9
require,v,"96,535",1.80,0.94,9
role,n,"95,826",1.81,0.95,8
